Société,Site commercial,Numéro de client,Groupe de clients,Agence commerciale,Article,Groupe de marchandises,Jour calendaire,Mois/Année,Poids net
COSUMAR SA,Raffinerie,106498,Grossistes,A01,1000,Pain,4/12/17,4/2017,1.1172000000E+01
COSUMAR SA,Raffinerie,104474,Grossistes,A01,4200,GR-PCDT,1/4/17,1/2017,2.1000000000E+00
COSUMAR SA,Raffinerie,101525,GMS,A02,2000,Lingot,4/25/17,4/2017,3.7800000000E+00
COSUMAR SA,Sidi Bennour,110047,Grossistes,A01,4501,GR-GCDT,10/25/17,10/2017,9.5000000000E+00
COSUMAR SA,Sidi Bennour,103056,Grossistes,A02,4205,GR-PCDT,1/18/17,1/2017,3.3000000000E+00
COSUMAR SA,Raffinerie,104640,Grossistes,A05,1000,Pain,10/2/17,10/2017,6.5000000000E+00
COSUMAR SA,Raffinerie,103035,Grossistes,A01,1000,Pain,8/19/17,8/2017,1.9560000000E+00
COSUMAR SA,Raffinerie,110121,Grossistes,A01,2000,Lingot,10/30/17,10/2017,9.0600000000E+00
COSUMAR SA,Zaio,106116,Grossistes,A04,4202,GR-PCDT,12/8/17,12/2017,9.5000000000E+00
COSUMAR SA,Raffinerie,110060,Grossistes,A07,1000,Pain,7/9/18,7/2018,2.6148000000E+01
COSUMAR SA,Raffinerie,104491,GMS,A01,2000,Lingot,5/15/18,5/2018,9.0600000000E+00
COSUMAR SA,Raffinerie,104267,GMS,A15,4200,GR-PCDT,4/4/18,4/2018,1.2900000000E+01
COSUMAR SA,Raffinerie,101833,GMS,A04,1000,Pain,12/14/17,12/2017,-3.4800000000E-01
COSUMAR SA,Raffinerie,101896,Grossistes,A05,2000,Lingot,12/12/17,12/2017,2.4600000000E+00
COSUMAR SA,Raffinerie,103962,Industriels,A01,4500,GR-GCDT,6/18/18,6/2018,1.0000000000E+01
COSUMAR SA,Raffinerie,106041,Grossistes,A02,1000,Pain,7/21/18,7/2018,3.3000000000E+00
COSUMAR SA,Zaio,101978,Grossistes,A06,4506,GR-GCDT,6/30/17,6/2017,1.5500000000E+01
COSUMAR SA,Raffinerie,100603,Grossistes,A01,4200,GR-PCDT,2/6/18,2/2018,-3.0000000000E-01
COSUMAR SA,Zaio,102019,Grossistes,A06,4506,GR-GCDT,12/19/17,12/2017,1.5000000000E+00
COSUMAR SA,Raffinerie,105013,Grossistes,A01,3000,Morceau,6/15/17,6/2017,-2.4000000000E-01
COSUMAR SA,Sidi Bennour,110019,Grossistes,A07,1007,Pain,10/15/18,10/2018,2.3400000000E+00
COSUMAR SA,Raffinerie,110119,Grossistes,A15,2000,Lingot,3/16/18,3/2018,-1.8000000000E-01
COSUMAR SA,Raffinerie,110174,Grossistes,A01,1000,Pain,8/31/18,8/2018,2.4996000000E+01
COSUMAR SA,Sidi Bennour,107710,Grossistes,A01,1007,Pain,12/21/18,12/2018,7.5080000000E+00
COSUMAR SA,Raffinerie,110060,Grossistes,A07,2000,Lingot,4/25/17,4/2017,2.4900000000E+01
COSUMAR SA,Raffinerie,103608,Grossistes,A01,1000,Pain,10/11/17,10/2017,1.5780000000E+01
COSUMAR SA,Raffinerie,204655,Export,A01,4514,GR-GCDT,8/15/17,8/2017,6.1845000000E+03
COSUMAR SA,Raffinerie,110097,Grossistes,A01,3000,Morceau,10/19/17,10/2017,-2.4000000000E-01
COSUMAR SA,Raffinerie,100383,Grossistes,A05,2000,Lingot,6/27/18,6/2018,5.0000000000E-01
COSUMAR SA,Sidi Bennour,110174,Grossistes,A01,4501,GR-GCDT,5/14/18,5/2018,1.8500000000E+01
COSUMAR SA,Raffinerie,110041,Grossistes,A01,1000,Pain,2/20/18,2/2018,1.9560000000E+00
COSUMAR SA,Raffinerie,104491,GMS,A01,4500,GR-GCDT,11/25/17,11/2017,1.0500000000E+01
COSUMAR SA,Raffinerie,106600,Grossistes,A05,3000,Morceau,12/30/18,12/2018,-2.4000000000E-01
COSUMAR SA,Zaio,100245,Grossistes,A06,4202,GR-PCDT,10/2/17,10/2017,3.5500000000E+01
COSUMAR SA,Sidi Bennour,104019,Grossistes,A07,1007,Pain,3/20/17,3/2017,1.7000000000E+00
COSUMAR SA,Raffinerie,106047,Industriels,A07,4500,GR-GCDT,7/20/17,7/2017,2.5500000000E+01
COSUMAR SA,Zaio,106077,Grossistes,A06,4202,GR-PCDT,3/14/17,3/2017,2.6500000000E+01
COSUMAR SA,Raffinerie,101147,GMS,A15,4210,GR-PCDT,9/20/17,9/2017,5.2200000000E+00
COSUMAR SA,Raffinerie,110035,Grossistes,A01,1000,Pain,7/3/17,7/2017,8.0400000000E-01
COSUMAR SA,Raffinerie,106498,Grossistes,A01,1000,Pain,11/7/17,11/2017,1.4628000000E+01
COSUMAR SA,Sidi Bennour,100666,Grossistes,A07,4205,GR-PCDT,11/27/17,11/2017,3.0000000000E-01
COSUMAR SA,Raffinerie,106600,Grossistes,A05,1000,Pain,11/11/17,11/2017,1.1172000000E+01
COSUMAR SA,Raffinerie,104244,GMS,A01,1000,Pain,5/16/18,5/2018,-3.4800000000E-01
COSUMAR SA,Sidi Bennour,101774,Grossistes,A01,4501,GR-GCDT,5/25/17,5/2017,1.1500000000E+01
COSUMAR SA,Raffinerie,100469,Grossistes,A02,3000,Morceau,9/5/18,9/2018,-5.0000000000E-01
COSUMAR SA,Raffinerie,104970,Grossistes,A01,2000,Lingot,5/26/17,5/2017,3.7800000000E+00
COSUMAR SA,Raffinerie,106425,Grossistes,A01,3000,Morceau,6/13/18,6/2018,-2.4000000000E-01
COSUMAR SA,Raffinerie,101564,Grossistes,A01,1000,Pain,5/2/17,5/2017,6.5640000000E+00
COSUMAR SA,Raffinerie,104019,Grossistes,A07,4500,GR-GCDT,4/24/18,4/2018,4.5000000000E+00
COSUMAR SA,Raffinerie,110019,Grossistes,A07,4500,GR-GCDT,9/5/17,9/2017,0.0000000000E+00
COSUMAR SA,Sidi Bennour,105941,Grossistes,A07,4205,GR-PCDT,6/11/18,6/2018,2.6508000000E+01
COSUMAR SA,Raffinerie,106041,Grossistes,A02,2000,Lingot,11/13/18,11/2018,5.0000000000E-01
COSUMAR SA,Raffinerie,101016,Grossistes,A04,1000,Pain,5/13/17,5/2017,3.5080000000E+00
COSUMAR SA,Raffinerie,100731,Industriels,A02,4500,GR-GCDT,8/4/18,8/2018,4.8500000000E+01
COSUMAR SA,Raffinerie,106197,Grossistes,A05,4515,GR-GCDT,7/31/17,7/2017,8.5000000000E+00
COSUMAR SA,Raffinerie,104276,Grossistes,A01,1000,Pain,2/8/18,2/2018,1.0020000000E+01
COSUMAR SA,Raffinerie,105272,Administration,A07,1003,Pain,11/8/18,11/2018,2.4900000000E+01
COSUMAR SA,Raffinerie,102001,Grossistes,A06,1000,Pain,11/27/17,11/2017,2.3844000000E+01
COSUMAR SA,Raffinerie,101778,Grossistes,A02,3000,Morceau,6/23/18,6/2018,5.0000000000E-01
COSUMAR SA,Raffinerie,104645,GMS,A09,2000,Lingot,4/22/17,4/2017,4.2060000000E+01
COSUMAR SA,Sidi Bennour,104646,Grossistes,A02,4501,GR-GCDT,2/7/17,2/2017,1.5000000000E+00
COSUMAR SA,Sidi Bennour,110174,Grossistes,A01,4205,GR-PCDT,9/1/18,9/2018,9.0000000000E-01
COSUMAR SA,Raffinerie,110119,Grossistes,A15,4515,GR-GCDT,3/8/18,3/2018,2.5000000000E+00
COSUMAR SA,Raffinerie,102157,Grossistes,A02,2000,Lingot,5/19/17,5/2017,2.5000000000E+00
COSUMAR SA,Raffinerie,100245,Grossistes,A06,2000,Lingot,7/7/17,7/2017,5.0000000000E-01
COSUMAR SA,Raffinerie,103094,Grossistes,A01,4200,GR-PCDT,11/24/17,11/2017,9.0000000000E-01
COSUMAR SA,Raffinerie,103573,Grossistes,A01,2000,Lingot,3/29/17,3/2017,2.4600000000E+00
COSUMAR SA,Raffinerie,106421,Grossistes,A01,4200,GR-PCDT,5/3/17,5/2017,2.1000000000E+00
COSUMAR SA,Raffinerie,110042,Industriels,A01,4406,GR-GCDT,10/2/18,10/2018,1.3500000000E+01
COSUMAR SA,Raffinerie,110019,Grossistes,A07,4500,GR-GCDT,4/24/18,4/2018,8.5000000000E+00
COSUMAR SA,Sidi Bennour,105983,Grossistes,A01,4205,GR-PCDT,9/27/18,9/2018,1.2504000000E+01
COSUMAR SA,Raffinerie,103094,Grossistes,A01,1000,Pain,3/29/17,3/2017,8.0400000000E-01
COSUMAR SA,Raffinerie,101841,GMS,A02,4200,GR-PCDT,7/1/17,7/2017,9.0000000000E-01
COSUMAR SA,Raffinerie,103063,Grossistes,A02,2000,Lingot,7/31/18,7/2018,2.1700000000E+01
COSUMAR SA,Raffinerie,104645,GMS,A09,1000,Pain,6/13/17,6/2017,1.2324000000E+01
COSUMAR SA,Raffinerie,105983,Grossistes,A01,4517,GR-GCDT,4/13/17,4/2017,5.0000000000E-01
COSUMAR SA,Sidi Bennour,105940,Grossistes,A02,4205,GR-PCDT,3/21/17,3/2017,2.6508000000E+01
COSUMAR SA,Raffinerie,100745,Industriels,A05,4500,GR-GCDT,2/7/18,2/2018,8.5000000000E+00
COSUMAR SA,Raffinerie,104551,Grossistes,A09,4517,GR-GCDT,4/18/17,4/2017,3.5000000000E+00
COSUMAR SA,Raffinerie,104474,Grossistes,A01,2000,Lingot,12/8/18,12/2018,2.0940000000E+01
COSUMAR SA,Raffinerie,104906,Industriels,A01,4500,GR-GCDT,9/21/18,9/2018,2.3500000000E+01
COSUMAR SA,Raffinerie,103035,Grossistes,A01,3000,Morceau,4/21/17,4/2017,-2.4000000000E-01
COSUMAR SA,Raffinerie,104285,GMS,A06,4200,GR-PCDT,4/25/18,4/2018,9.3000000000E+00
COSUMAR SA,Raffinerie,104264,GMS,A15,3000,Morceau,2/28/17,2/2017,1.0200000000E+00
COSUMAR SA,Raffinerie,105085,Grossistes,A07,4500,GR-GCDT,4/16/18,4/2018,2.3250000000E+01
COSUMAR SA,Zaio,102181,Grossistes,A06,4506,GR-GCDT,12/12/18,12/2018,1.1500000000E+01
COSUMAR SA,Sidi Bennour,101163,Grossistes,A07,4501,GR-GCDT,7/24/18,7/2018,1.0500000000E+01
COSUMAR SA,Sidi Bennour,105940,Grossistes,A02,1007,Pain,4/6/18,4/2018,8.2500000000E+01
COSUMAR SA,Raffinerie,102714,Grossistes,A15,1000,Pain,4/9/18,4/2018,6.5640000000E+00
COSUMAR SA,Sidi Bennour,109116,Grossistes,A01,4501,GR-GCDT,11/22/18,11/2018,1.0500000000E+01
COSUMAR SA,Raffinerie,101951,Grossistes,A09,4517,GR-GCDT,1/12/17,1/2017,5.0000000000E-01
COSUMAR SA,Raffinerie,103087,Grossistes,A06,2000,Lingot,8/1/17,8/2017,-5.0000000000E-01
COSUMAR SA,Raffinerie,110035,Grossistes,A01,3000,Morceau,9/29/18,9/2018,-2.4000000000E-01
COSUMAR SA,Raffinerie,104495,GMS,A04,1000,Pain,9/19/18,9/2018,1.3476000000E+01
COSUMAR SA,Raffinerie,103095,Grossistes,A02,3000,Morceau,12/19/17,12/2017,5.0000000000E-01
COSUMAR SA,Raffinerie,101845,Grossistes,A02,1000,Pain,2/10/18,2/2018,2.5000000000E+00
COSUMAR SA,Raffinerie,101062,Grossistes,A01,4212,GR-PCDT,11/16/18,11/2018,-2.0400000000E-01
COSUMAR SA,Raffinerie,101798,Grossistes,A01,1000,Pain,7/10/18,7/2018,6.5640000000E+00
COSUMAR SA,Raffinerie,104276,Grossistes,A01,1000,Pain,1/20/18,1/2018,1.3476000000E+01
COSUMAR SA,Raffinerie,110060,Grossistes,A07,1000,Pain,7/31/17,7/2017,8.1444000000E+01
COSUMAR SA,Raffinerie,106421,Grossistes,A01,1000,Pain,3/16/18,3/2018,8.0400000000E-01
COSUMAR SA,Raffinerie,100234,Grossistes,A01,4212,GR-PCDT,10/19/18,10/2018,-2.0400000000E-01
COSUMAR SA,Zaio,106077,Grossistes,A06,4202,GR-PCDT,8/25/17,8/2017,5.2500000000E+01
COSUMAR SA,Raffinerie,105997,Grossistes,A01,3000,Morceau,9/4/18,9/2018,3.5400000000E+00
COSUMAR SA,Raffinerie,106600,Grossistes,A05,3000,Morceau,12/28/18,12/2018,-2.4000000000E-01
COSUMAR SA,Sidi Bennour,104474,Grossistes,A01,4501,GR-GCDT,1/17/17,1/2017,2.7500000000E+01
COSUMAR SA,Raffinerie,110093,Industriels,A01,4500,GR-GCDT,1/24/18,1/2018,2.2500000000E+01
COSUMAR SA,Raffinerie,100690,Grossistes,A06,2000,Lingot,5/18/18,5/2018,-5.0000000000E-01
COSUMAR SA,Raffinerie,106498,Grossistes,A01,1000,Pain,3/5/18,3/2018,1.1172000000E+01
COSUMAR SA,Raffinerie,105997,Grossistes,A01,2000,Lingot,10/3/17,10/2017,1.2126000000E+02
COSUMAR SA,Raffinerie,106498,Grossistes,A01,2000,Lingot,6/22/18,6/2018,7.7400000000E+00
COSUMAR SA,Sidi Bennour,110174,Grossistes,A01,4205,GR-PCDT,11/26/18,11/2018,4.2600000000E+00
COSUMAR SA,Raffinerie,104234,GMS,A07,1000,Pain,1/9/18,1/2018,3.1080000000E+00
COSUMAR SA,Raffinerie,106237,Grossistes,A01,2000,Lingot,9/12/18,9/2018,1.0380000000E+01
COSUMAR SA,Raffinerie,102552,Grossistes,A09,2000,Lingot,11/16/18,11/2018,0.0000000000E+00
COSUMAR SA,Raffinerie,100245,Grossistes,A06,2000,Lingot,11/12/18,11/2018,3.5000000000E+00
COSUMAR SA,Raffinerie,104323,GMS,A02,2000,Lingot,4/7/18,4/2018,2.4600000000E+00
COSUMAR SA,Raffinerie,104645,GMS,A09,2000,Lingot,4/9/18,4/2018,1.3020000000E+01
COSUMAR SA,Raffinerie,104276,Grossistes,A01,1000,Pain,1/4/18,1/2018,4.2600000000E+00
COSUMAR SA,Raffinerie,104236,GMS,A01,2000,Lingot,11/17/17,11/2017,3.7800000000E+00
COSUMAR SA,Raffinerie,100175,Grossistes,A01,2000,Lingot,4/24/18,4/2018,1.1400000000E+00
COSUMAR SA,Raffinerie,103071,Industriels,A01,4500,GR-GCDT,4/30/18,4/2018,2.3500000000E+01
COSUMAR SA,Raffinerie,101956,Grossistes,A15,4515,GR-GCDT,3/7/18,3/2018,4.5000000000E+00
COSUMAR SA,Raffinerie,103095,Grossistes,A02,3000,Morceau,10/21/17,10/2017,-5.0000000000E-01
COSUMAR SA,Raffinerie,104483,GMS,A01,2000,Lingot,4/27/17,4/2017,2.4600000000E+00
COSUMAR SA,Raffinerie,110092,GMS,A01,2000,Lingot,12/26/18,12/2018,1.3020000000E+01
COSUMAR SA,Raffinerie,102636,Grossistes,A01,1000,Pain,10/5/17,10/2017,4.2600000000E+00
COSUMAR SA,Sidi Bennour,103557,Grossistes,A07,4205,GR-PCDT,5/24/18,5/2018,9.0000000000E-01
COSUMAR SA,Raffinerie,103051,Grossistes,A09,1000,Pain,5/9/18,5/2018,1.4500000000E+01
COSUMAR SA,Raffinerie,106325,Grossistes,A01,1000,Pain,9/12/18,9/2018,1.0020000000E+01
COSUMAR SA,Raffinerie,104027,Grossistes,A15,4208,GR-PCDT,4/12/18,4/2018,3.8500000000E+01
COSUMAR SA,Sidi Bennour,103056,Grossistes,A02,4205,GR-PCDT,4/24/18,4/2018,2.4600000000E+00
COSUMAR SA,Sidi Bennour,109083,Grossistes,A01,1007,Pain,12/4/17,12/2017,6.5000000000E+00
COSUMAR SA,Raffinerie,110060,Grossistes,A07,1000,Pain,1/27/17,1/2017,2.6148000000E+01
COSUMAR SA,Sidi Bennour,104019,Grossistes,A07,4501,GR-GCDT,10/15/18,10/2018,1.2500000000E+01
COSUMAR SA,Raffinerie,101833,GMS,A04,1000,Pain,7/4/18,7/2018,8.0400000000E-01
COSUMAR SA,Raffinerie,109151,Grossistes,A05,2000,Lingot,6/11/18,6/2018,4.5000000000E+00
COSUMAR SA,Raffinerie,103050,Grossistes,A01,4212,GR-PCDT,10/11/18,10/2018,4.9800000000E+00
COSUMAR SA,Raffinerie,104244,GMS,A01,4212,GR-PCDT,5/18/18,5/2018,2.3880000000E+00
COSUMAR SA,Raffinerie,110069,GMS,A05,2000,Lingot,11/21/17,11/2017,1.1700000000E+01
COSUMAR SA,Raffinerie,204665,Export,A01,4514,GR-GCDT,10/30/18,10/2018,6.0265000000E+03
COSUMAR SA,Raffinerie,104483,GMS,A01,2000,Lingot,7/28/18,7/2018,3.7800000000E+00
COSUMAR SA,Raffinerie,100200,Grossistes,A01,2000,Lingot,9/15/17,9/2017,3.7800000000E+00
COSUMAR SA,Raffinerie,102058,Grossistes,A15,3000,Morceau,3/14/18,3/2018,-5.0000000000E-01
COSUMAR SA,Raffinerie,103080,Grossistes,A01,4212,GR-PCDT,5/14/18,5/2018,1.0920000000E+00
COSUMAR SA,Raffinerie,106421,Grossistes,A01,4212,GR-PCDT,6/20/18,6/2018,7.5720000000E+00
COSUMAR SA,Raffinerie,103095,Grossistes,A02,2000,Lingot,6/7/17,6/2017,3.5000000000E+00
COSUMAR SA,Raffinerie,100846,Grossistes,A09,3000,Morceau,12/18/18,12/2018,-5.0000000000E-01
COSUMAR SA,Raffinerie,104551,Grossistes,A09,4517,GR-GCDT,2/19/18,2/2018,3.0000000000E+00
COSUMAR SA,Raffinerie,107620,Grossistes,A01,1000,Pain,6/5/18,6/2018,-7.0000000000E-01
COSUMAR SA,Raffinerie,104491,GMS,A01,1000,Pain,3/3/17,3/2017,7.7160000000E+00
COSUMAR SA,Raffinerie,104498,GMS,A15,4212,GR-PCDT,7/23/18,7/2018,6.2760000000E+00
COSUMAR SA,Raffinerie,106029,Grossistes,A15,1000,Pain,7/26/17,7/2017,4.2600000000E+00
COSUMAR SA,Raffinerie,103095,Grossistes,A02,2000,Lingot,11/3/17,11/2017,7.5000000000E+00
COSUMAR SA,Raffinerie,110035,Grossistes,A01,1000,Pain,8/3/18,8/2018,8.0400000000E-01
COSUMAR SA,Raffinerie,104013,Industriels,A01,4500,GR-GCDT,6/1/17,6/2017,2.3500000000E+01
COSUMAR SA,Sidi Bennour,106219,Grossistes,A07,4501,GR-GCDT,9/25/17,9/2017,2.5000000000E+00
COSUMAR SA,Raffinerie,103035,Grossistes,A01,2000,Lingot,7/28/17,7/2017,6.4200000000E+00
COSUMAR SA,Raffinerie,102001,Grossistes,A06,2000,Lingot,7/28/18,7/2018,9.0600000000E+00
COSUMAR SA,Raffinerie,103674,Industriels,A01,4500,GR-GCDT,8/7/18,8/2018,2.4500000000E+01
COSUMAR SA,Sidi Bennour,103557,Grossistes,A07,4205,GR-PCDT,5/2/18,5/2018,1.5000000000E+00
COSUMAR SA,Raffinerie,103063,Grossistes,A02,2000,Lingot,7/31/17,7/2017,2.5000000000E+00
COSUMAR SA,Sidi Bennour,110019,Grossistes,A07,4205,GR-PCDT,6/15/17,6/2017,-3.0000000000E-01
COSUMAR SA,Sidi Bennour,102157,Grossistes,A02,4501,GR-GCDT,6/12/18,6/2018,8.5000000000E+00
COSUMAR SA,Raffinerie,103608,Grossistes,A01,1000,Pain,7/23/18,7/2018,4.2600000000E+00
COSUMAR SA,Raffinerie,104309,Grossistes,A05,4515,GR-GCDT,2/11/17,2/2017,4.5000000000E+00
COSUMAR SA,Raffinerie,104276,Grossistes,A01,4200,GR-PCDT,4/5/17,4/2017,3.3000000000E+00
COSUMAR SA,Sidi Bennour,101465,Grossistes,A02,4205,GR-PCDT,2/14/17,2/2017,-3.0000000000E-01
COSUMAR SA,Sidi Bennour,105088,Grossistes,A01,1007,Pain,6/29/18,6/2018,1.8100000000E+01
COSUMAR SA,Sidi Bennour,106159,Grossistes,A01,4205,GR-PCDT,10/11/18,10/2018,5.0400000000E-01
COSUMAR SA,Zaio,100861,Grossistes,A04,4506,GR-GCDT,1/30/18,1/2018,2.6500000000E+01
COSUMAR SA,Raffinerie,101938,Grossistes,A09,2000,Lingot,12/7/18,12/2018,1.0000000000E+00
COSUMAR SA,Raffinerie,106029,Grossistes,A15,1000,Pain,12/6/18,12/2018,2.7300000000E+01
COSUMAR SA,Raffinerie,110038,Grossistes,A01,2000,Lingot,3/16/18,3/2018,2.4600000000E+00
COSUMAR SA,Raffinerie,102157,Grossistes,A02,3000,Morceau,11/12/18,11/2018,5.0000000000E-01
COSUMAR SA,Raffinerie,104316,GMS,A15,3000,Morceau,11/16/18,11/2018,3.5400000000E+00
